./acoustic output/debug_lf_3 3 0 0 102 102 1.0 1.0 0.3 -100 1
Acoustic solver
Energy dissipative coupling: 0 
grid size 0 : 802 802, spacing : 0.001250 0.001250  
grid size 1 : 802 802, spacing : 0.001250 0.001250  
Time step: 0.000375 
Number of steps: 3333 
Initialization completed
step = 0 	 t = 0 
step = 50 	 t = 0.01875 
step = 100 	 t = 0.0375 
step = 150 	 t = 0.05625 
step = 200 	 t = 0.075 
step = 250 	 t = 0.09375 
step = 300 	 t = 0.1125 
step = 350 	 t = 0.13125 
step = 400 	 t = 0.15 
step = 450 	 t = 0.16875 
step = 500 	 t = 0.1875 
step = 550 	 t = 0.20625 
step = 600 	 t = 0.225 
step = 650 	 t = 0.24375 
step = 700 	 t = 0.2625 
step = 750 	 t = 0.28125 
step = 800 	 t = 0.3 
step = 850 	 t = 0.31875 
step = 900 	 t = 0.3375 
step = 950 	 t = 0.35625 
step = 1000 	 t = 0.375 
step = 1050 	 t = 0.39375 
step = 1100 	 t = 0.4125 
step = 1150 	 t = 0.43125 
step = 1200 	 t = 0.45 
step = 1250 	 t = 0.46875 
step = 1300 	 t = 0.4875 
step = 1350 	 t = 0.50625 
step = 1400 	 t = 0.525 
step = 1450 	 t = 0.54375 
step = 1500 	 t = 0.5625 
step = 1550 	 t = 0.58125 
step = 1600 	 t = 0.6 
step = 1650 	 t = 0.61875 
step = 1700 	 t = 0.6375 
step = 1750 	 t = 0.65625 
step = 1800 	 t = 0.675 
step = 1850 	 t = 0.69375 
step = 1900 	 t = 0.7125 
step = 1950 	 t = 0.73125 
step = 2000 	 t = 0.75 
step = 2050 	 t = 0.76875 
step = 2100 	 t = 0.7875 
step = 2150 	 t = 0.80625 
step = 2200 	 t = 0.825 
step = 2250 	 t = 0.84375 
step = 2300 	 t = 0.8625 
step = 2350 	 t = 0.88125 
step = 2400 	 t = 0.9 
step = 2450 	 t = 0.91875 
step = 2500 	 t = 0.9375 
step = 2550 	 t = 0.95625 
step = 2600 	 t = 0.975 
step = 2650 	 t = 0.99375 
step = 2700 	 t = 1.0125 
step = 2750 	 t = 1.03125 
step = 2800 	 t = 1.05 
step = 2850 	 t = 1.06875 
step = 2900 	 t = 1.0875 
step = 2950 	 t = 1.10625 
step = 3000 	 t = 1.125 
step = 3050 	 t = 1.14375 
step = 3100 	 t = 1.1625 
step = 3150 	 t = 1.18125 
step = 3200 	 t = 1.2 
step = 3250 	 t = 1.21875 
step = 3300 	 t = 1.2375 
step = 3332 	 t = 1.25 
Simulation took: 6.7999 s 
wrote: output/debug_lf_3_p.bin 
wrote: output/debug_lf_3_t.bin 
