./acoustic output/debug_lf_5 5 0 0 102 102 1.0 1.0 0.3 -100 1
Acoustic solver
Energy dissipative coupling: 0 
grid size 0 : 3202 3202, spacing : 0.000313 0.000313  
grid size 1 : 3202 3202, spacing : 0.000313 0.000313  
Time step: 9.375e-05 
Number of steps: 13333 
Initialization completed
step = 0 	 t = 0 
step = 50 	 t = 0.0046875 
step = 100 	 t = 0.009375 
step = 150 	 t = 0.0140625 
step = 200 	 t = 0.01875 
step = 250 	 t = 0.0234375 
step = 300 	 t = 0.028125 
step = 350 	 t = 0.0328125 
step = 400 	 t = 0.0375 
step = 450 	 t = 0.0421875 
step = 500 	 t = 0.046875 
step = 550 	 t = 0.0515625 
step = 600 	 t = 0.05625 
step = 650 	 t = 0.0609375 
step = 700 	 t = 0.065625 
step = 750 	 t = 0.0703125 
step = 800 	 t = 0.075 
step = 850 	 t = 0.0796875 
step = 900 	 t = 0.084375 
step = 950 	 t = 0.0890625 
step = 1000 	 t = 0.09375 
step = 1050 	 t = 0.0984375 
step = 1100 	 t = 0.103125 
step = 1150 	 t = 0.107813 
step = 1200 	 t = 0.1125 
step = 1250 	 t = 0.117188 
step = 1300 	 t = 0.121875 
step = 1350 	 t = 0.126562 
step = 1400 	 t = 0.13125 
step = 1450 	 t = 0.135938 
step = 1500 	 t = 0.140625 
step = 1550 	 t = 0.145313 
step = 1600 	 t = 0.15 
step = 1650 	 t = 0.154688 
step = 1700 	 t = 0.159375 
step = 1750 	 t = 0.164062 
step = 1800 	 t = 0.16875 
step = 1850 	 t = 0.173437 
step = 1900 	 t = 0.178125 
step = 1950 	 t = 0.182813 
step = 2000 	 t = 0.1875 
step = 2050 	 t = 0.192188 
step = 2100 	 t = 0.196875 
step = 2150 	 t = 0.201563 
step = 2200 	 t = 0.20625 
step = 2250 	 t = 0.210938 
step = 2300 	 t = 0.215625 
step = 2350 	 t = 0.220312 
step = 2400 	 t = 0.225 
step = 2450 	 t = 0.229688 
step = 2500 	 t = 0.234375 
step = 2550 	 t = 0.239063 
step = 2600 	 t = 0.24375 
step = 2650 	 t = 0.248438 
step = 2700 	 t = 0.253125 
step = 2750 	 t = 0.257812 
step = 2800 	 t = 0.2625 
step = 2850 	 t = 0.267188 
step = 2900 	 t = 0.271875 
step = 2950 	 t = 0.276562 
step = 3000 	 t = 0.28125 
step = 3050 	 t = 0.285938 
step = 3100 	 t = 0.290625 
step = 3150 	 t = 0.295313 
step = 3200 	 t = 0.3 
step = 3250 	 t = 0.304688 
step = 3300 	 t = 0.309375 
step = 3350 	 t = 0.314063 
step = 3400 	 t = 0.31875 
step = 3450 	 t = 0.323437 
step = 3500 	 t = 0.328125 
step = 3550 	 t = 0.332813 
step = 3600 	 t = 0.3375 
step = 3650 	 t = 0.342188 
step = 3700 	 t = 0.346875 
step = 3750 	 t = 0.351562 
step = 3800 	 t = 0.35625 
step = 3850 	 t = 0.360938 
step = 3900 	 t = 0.365625 
step = 3950 	 t = 0.370312 
step = 4000 	 t = 0.375 
step = 4050 	 t = 0.379688 
step = 4100 	 t = 0.384375 
step = 4150 	 t = 0.389063 
step = 4200 	 t = 0.39375 
step = 4250 	 t = 0.398438 
step = 4300 	 t = 0.403125 
step = 4350 	 t = 0.407813 
step = 4400 	 t = 0.4125 
step = 4450 	 t = 0.417187 
step = 4500 	 t = 0.421875 
step = 4550 	 t = 0.426563 
step = 4600 	 t = 0.43125 
step = 4650 	 t = 0.435938 
step = 4700 	 t = 0.440625 
step = 4750 	 t = 0.445312 
step = 4800 	 t = 0.45 
step = 4850 	 t = 0.454688 
step = 4900 	 t = 0.459375 
step = 4950 	 t = 0.464062 
step = 5000 	 t = 0.46875 
step = 5050 	 t = 0.473438 
step = 5100 	 t = 0.478125 
step = 5150 	 t = 0.482813 
step = 5200 	 t = 0.4875 
step = 5250 	 t = 0.492188 
step = 5300 	 t = 0.496875 
step = 5350 	 t = 0.501563 
step = 5400 	 t = 0.50625 
step = 5450 	 t = 0.510938 
step = 5500 	 t = 0.515625 
step = 5550 	 t = 0.520313 
step = 5600 	 t = 0.525 
step = 5650 	 t = 0.529687 
step = 5700 	 t = 0.534375 
step = 5750 	 t = 0.539062 
step = 5800 	 t = 0.54375 
step = 5850 	 t = 0.548438 
step = 5900 	 t = 0.553125 
step = 5950 	 t = 0.557813 
step = 6000 	 t = 0.5625 
step = 6050 	 t = 0.567188 
step = 6100 	 t = 0.571875 
step = 6150 	 t = 0.576562 
step = 6200 	 t = 0.58125 
step = 6250 	 t = 0.585938 
step = 6300 	 t = 0.590625 
step = 6350 	 t = 0.595313 
step = 6400 	 t = 0.6 
step = 6450 	 t = 0.604688 
step = 6500 	 t = 0.609375 
step = 6550 	 t = 0.614063 
step = 6600 	 t = 0.61875 
step = 6650 	 t = 0.623437 
step = 6700 	 t = 0.628125 
step = 6750 	 t = 0.632812 
step = 6800 	 t = 0.6375 
step = 6850 	 t = 0.642188 
step = 6900 	 t = 0.646875 
step = 6950 	 t = 0.651563 
step = 7000 	 t = 0.65625 
step = 7050 	 t = 0.660938 
step = 7100 	 t = 0.665625 
step = 7150 	 t = 0.670312 
step = 7200 	 t = 0.675 
step = 7250 	 t = 0.679688 
step = 7300 	 t = 0.684375 
step = 7350 	 t = 0.689063 
step = 7400 	 t = 0.69375 
step = 7450 	 t = 0.698438 
step = 7500 	 t = 0.703125 
step = 7550 	 t = 0.707813 
step = 7600 	 t = 0.7125 
step = 7650 	 t = 0.717187 
step = 7700 	 t = 0.721875 
step = 7750 	 t = 0.726562 
step = 7800 	 t = 0.73125 
step = 7850 	 t = 0.735938 
step = 7900 	 t = 0.740625 
step = 7950 	 t = 0.745313 
step = 8000 	 t = 0.75 
step = 8050 	 t = 0.754688 
step = 8100 	 t = 0.759375 
step = 8150 	 t = 0.764062 
step = 8200 	 t = 0.76875 
step = 8250 	 t = 0.773438 
step = 8300 	 t = 0.778125 
step = 8350 	 t = 0.782813 
step = 8400 	 t = 0.7875 
step = 8450 	 t = 0.792188 
step = 8500 	 t = 0.796875 
step = 8550 	 t = 0.801563 
step = 8600 	 t = 0.80625 
step = 8650 	 t = 0.810937 
step = 8700 	 t = 0.815625 
step = 8750 	 t = 0.820312 
step = 8800 	 t = 0.825 
step = 8850 	 t = 0.829688 
step = 8900 	 t = 0.834375 
step = 8950 	 t = 0.839063 
step = 9000 	 t = 0.84375 
step = 9050 	 t = 0.848438 
step = 9100 	 t = 0.853125 
step = 9150 	 t = 0.857812 
step = 9200 	 t = 0.8625 
step = 9250 	 t = 0.867188 
step = 9300 	 t = 0.871875 
step = 9350 	 t = 0.876563 
step = 9400 	 t = 0.88125 
step = 9450 	 t = 0.885938 
step = 9500 	 t = 0.890625 
step = 9550 	 t = 0.895313 
step = 9600 	 t = 0.9 
step = 9650 	 t = 0.904687 
step = 9700 	 t = 0.909375 
step = 9750 	 t = 0.914062 
step = 9800 	 t = 0.91875 
step = 9850 	 t = 0.923438 
step = 9900 	 t = 0.928125 
step = 9950 	 t = 0.932813 
step = 10000 	 t = 0.9375 
step = 10050 	 t = 0.942188 
step = 10100 	 t = 0.946875 
step = 10150 	 t = 0.951562 
step = 10200 	 t = 0.95625 
step = 10250 	 t = 0.960938 
step = 10300 	 t = 0.965625 
step = 10350 	 t = 0.970313 
step = 10400 	 t = 0.975 
step = 10450 	 t = 0.979688 
