./acoustic output/lf_5 5 0 0 102 102 1.0 1.0 0.4 -100
Acoustic solver
Energy dissipative coupling: 0 
grid size 0 : 3202 3202, spacing : 0.000313 0.000313  
grid size 1 : 3202 3202, spacing : 0.000313 0.000313  
Time step: 0.000125 
Number of steps: 10000 
Initialization completed
step = 0 	 t = 0 
step = 50 	 t = 0.00625 
step = 100 	 t = 0.0125 
step = 150 	 t = 0.01875 
step = 200 	 t = 0.025 
step = 250 	 t = 0.03125 
step = 300 	 t = 0.0375 
step = 350 	 t = 0.04375 
step = 400 	 t = 0.05 
step = 450 	 t = 0.05625 
step = 500 	 t = 0.0625 
step = 550 	 t = 0.06875 
step = 600 	 t = 0.075 
step = 650 	 t = 0.08125 
step = 700 	 t = 0.0875 
step = 750 	 t = 0.09375 
step = 800 	 t = 0.1 
step = 850 	 t = 0.10625 
step = 900 	 t = 0.1125 
step = 950 	 t = 0.11875 
step = 1000 	 t = 0.125 
step = 1050 	 t = 0.13125 
step = 1100 	 t = 0.1375 
step = 1150 	 t = 0.14375 
step = 1200 	 t = 0.15 
step = 1250 	 t = 0.15625 
step = 1300 	 t = 0.1625 
step = 1350 	 t = 0.16875 
step = 1400 	 t = 0.175 
step = 1450 	 t = 0.18125 
step = 1500 	 t = 0.1875 
step = 1550 	 t = 0.19375 
step = 1600 	 t = 0.2 
step = 1650 	 t = 0.20625 
step = 1700 	 t = 0.2125 
step = 1750 	 t = 0.21875 
step = 1800 	 t = 0.225 
step = 1850 	 t = 0.23125 
step = 1900 	 t = 0.2375 
step = 1950 	 t = 0.24375 
step = 2000 	 t = 0.25 
step = 2050 	 t = 0.25625 
step = 2100 	 t = 0.2625 
step = 2150 	 t = 0.26875 
step = 2200 	 t = 0.275 
step = 2250 	 t = 0.28125 
step = 2300 	 t = 0.2875 
step = 2350 	 t = 0.29375 
step = 2400 	 t = 0.3 
step = 2450 	 t = 0.30625 
step = 2500 	 t = 0.3125 
step = 2550 	 t = 0.31875 
step = 2600 	 t = 0.325 
step = 2650 	 t = 0.33125 
step = 2700 	 t = 0.3375 
step = 2750 	 t = 0.34375 
step = 2800 	 t = 0.35 
step = 2850 	 t = 0.35625 
step = 2900 	 t = 0.3625 
step = 2950 	 t = 0.36875 
step = 3000 	 t = 0.375 
step = 3050 	 t = 0.38125 
step = 3100 	 t = 0.3875 
step = 3150 	 t = 0.39375 
step = 3200 	 t = 0.4 
step = 3250 	 t = 0.40625 
step = 3300 	 t = 0.4125 
step = 3350 	 t = 0.41875 
step = 3400 	 t = 0.425 
step = 3450 	 t = 0.43125 
step = 3500 	 t = 0.4375 
step = 3550 	 t = 0.44375 
step = 3600 	 t = 0.45 
step = 3650 	 t = 0.45625 
step = 3700 	 t = 0.4625 
step = 3750 	 t = 0.46875 
step = 3800 	 t = 0.475 
step = 3850 	 t = 0.48125 
step = 3900 	 t = 0.4875 
step = 3950 	 t = 0.49375 
step = 4000 	 t = 0.5 
step = 4050 	 t = 0.50625 
step = 4100 	 t = 0.5125 
step = 4150 	 t = 0.51875 
step = 4200 	 t = 0.525 
step = 4250 	 t = 0.53125 
step = 4300 	 t = 0.5375 
step = 4350 	 t = 0.54375 
step = 4400 	 t = 0.55 
step = 4450 	 t = 0.55625 
step = 4500 	 t = 0.5625 
step = 4550 	 t = 0.56875 
step = 4600 	 t = 0.575 
step = 4650 	 t = 0.58125 
step = 4700 	 t = 0.5875 
step = 4750 	 t = 0.59375 
step = 4800 	 t = 0.6 
step = 4850 	 t = 0.60625 
step = 4900 	 t = 0.6125 
step = 4950 	 t = 0.61875 
step = 5000 	 t = 0.625 
step = 5050 	 t = 0.63125 
step = 5100 	 t = 0.6375 
step = 5150 	 t = 0.64375 
step = 5200 	 t = 0.65 
step = 5250 	 t = 0.65625 
step = 5300 	 t = 0.6625 
step = 5350 	 t = 0.66875 
step = 5400 	 t = 0.675 
step = 5450 	 t = 0.68125 
step = 5500 	 t = 0.6875 
step = 5550 	 t = 0.69375 
step = 5600 	 t = 0.7 
step = 5650 	 t = 0.70625 
step = 5700 	 t = 0.7125 
step = 5750 	 t = 0.71875 
step = 5800 	 t = 0.725 
step = 5850 	 t = 0.73125 
step = 5900 	 t = 0.7375 
step = 5950 	 t = 0.74375 
step = 6000 	 t = 0.75 
step = 6050 	 t = 0.75625 
step = 6100 	 t = 0.7625 
step = 6150 	 t = 0.76875 
step = 6200 	 t = 0.775 
step = 6250 	 t = 0.78125 
step = 6300 	 t = 0.7875 
step = 6350 	 t = 0.79375 
step = 6400 	 t = 0.8 
step = 6450 	 t = 0.80625 
step = 6500 	 t = 0.8125 
step = 6550 	 t = 0.81875 
step = 6600 	 t = 0.825 
step = 6650 	 t = 0.83125 
