./acoustic output/lf_6 6 0 0 102 102 1.0 1.0 0.4 -100
Acoustic solver
Energy dissipative coupling: 0 
grid size 0 : 6402 6402, spacing : 0.000156 0.000156  
grid size 1 : 6402 6402, spacing : 0.000156 0.000156  
Time step: 6.25e-05 
Number of steps: 20000 
Initialization completed
step = 0 	 t = 0 
step = 50 	 t = 0.003125 
step = 100 	 t = 0.00625 
step = 150 	 t = 0.009375 
step = 200 	 t = 0.0125 
step = 250 	 t = 0.015625 
step = 300 	 t = 0.01875 
step = 350 	 t = 0.021875 
step = 400 	 t = 0.025 
step = 450 	 t = 0.028125 
step = 500 	 t = 0.03125 
step = 550 	 t = 0.034375 
step = 600 	 t = 0.0375 
step = 650 	 t = 0.040625 
step = 700 	 t = 0.04375 
step = 750 	 t = 0.046875 
step = 800 	 t = 0.05 
step = 850 	 t = 0.053125 
step = 900 	 t = 0.05625 
step = 950 	 t = 0.059375 
step = 1000 	 t = 0.0625 
step = 1050 	 t = 0.065625 
step = 1100 	 t = 0.06875 
step = 1150 	 t = 0.071875 
step = 1200 	 t = 0.075 
step = 1250 	 t = 0.078125 
step = 1300 	 t = 0.08125 
step = 1350 	 t = 0.084375 
step = 1400 	 t = 0.0875 
step = 1450 	 t = 0.090625 
step = 1500 	 t = 0.09375 
step = 1550 	 t = 0.096875 
step = 1600 	 t = 0.1 
step = 1650 	 t = 0.103125 
step = 1700 	 t = 0.10625 
step = 1750 	 t = 0.109375 
step = 1800 	 t = 0.1125 
step = 1850 	 t = 0.115625 
step = 1900 	 t = 0.11875 
step = 1950 	 t = 0.121875 
step = 2000 	 t = 0.125 
step = 2050 	 t = 0.128125 
step = 2100 	 t = 0.13125 
step = 2150 	 t = 0.134375 
step = 2200 	 t = 0.1375 
step = 2250 	 t = 0.140625 
step = 2300 	 t = 0.14375 
step = 2350 	 t = 0.146875 
step = 2400 	 t = 0.15 
step = 2450 	 t = 0.153125 
step = 2500 	 t = 0.15625 
step = 2550 	 t = 0.159375 
step = 2600 	 t = 0.1625 
step = 2650 	 t = 0.165625 
step = 2700 	 t = 0.16875 
step = 2750 	 t = 0.171875 
step = 2800 	 t = 0.175 
step = 2850 	 t = 0.178125 
step = 2900 	 t = 0.18125 
step = 2950 	 t = 0.184375 
step = 3000 	 t = 0.1875 
step = 3050 	 t = 0.190625 
step = 3100 	 t = 0.19375 
step = 3150 	 t = 0.196875 
step = 3200 	 t = 0.2 
step = 3250 	 t = 0.203125 
step = 3300 	 t = 0.20625 
step = 3350 	 t = 0.209375 
step = 3400 	 t = 0.2125 
step = 3450 	 t = 0.215625 
step = 3500 	 t = 0.21875 
step = 3550 	 t = 0.221875 
step = 3600 	 t = 0.225 
step = 3650 	 t = 0.228125 
step = 3700 	 t = 0.23125 
step = 3750 	 t = 0.234375 
step = 3800 	 t = 0.2375 
step = 3850 	 t = 0.240625 
step = 3900 	 t = 0.24375 
step = 3950 	 t = 0.246875 
step = 4000 	 t = 0.25 
step = 4050 	 t = 0.253125 
step = 4100 	 t = 0.25625 
step = 4150 	 t = 0.259375 
step = 4200 	 t = 0.2625 
step = 4250 	 t = 0.265625 
step = 4300 	 t = 0.26875 
step = 4350 	 t = 0.271875 
step = 4400 	 t = 0.275 
step = 4450 	 t = 0.278125 
step = 4500 	 t = 0.28125 
step = 4550 	 t = 0.284375 
step = 4600 	 t = 0.2875 
step = 4650 	 t = 0.290625 
step = 4700 	 t = 0.29375 
step = 4750 	 t = 0.296875 
step = 4800 	 t = 0.3 
step = 4850 	 t = 0.303125 
step = 4900 	 t = 0.30625 
step = 4950 	 t = 0.309375 
step = 5000 	 t = 0.3125 
step = 5050 	 t = 0.315625 
step = 5100 	 t = 0.31875 
step = 5150 	 t = 0.321875 
step = 5200 	 t = 0.325 
step = 5250 	 t = 0.328125 
step = 5300 	 t = 0.33125 
step = 5350 	 t = 0.334375 
step = 5400 	 t = 0.3375 
step = 5450 	 t = 0.340625 
step = 5500 	 t = 0.34375 
step = 5550 	 t = 0.346875 
step = 5600 	 t = 0.35 
step = 5650 	 t = 0.353125 
step = 5700 	 t = 0.35625 
step = 5750 	 t = 0.359375 
step = 5800 	 t = 0.3625 
step = 5850 	 t = 0.365625 
step = 5900 	 t = 0.36875 
step = 5950 	 t = 0.371875 
step = 6000 	 t = 0.375 
step = 6050 	 t = 0.378125 
step = 6100 	 t = 0.38125 
step = 6150 	 t = 0.384375 
step = 6200 	 t = 0.3875 
step = 6250 	 t = 0.390625 
step = 6300 	 t = 0.39375 
step = 6350 	 t = 0.396875 
step = 6400 	 t = 0.4 
step = 6450 	 t = 0.403125 
step = 6500 	 t = 0.40625 
step = 6550 	 t = 0.409375 
step = 6600 	 t = 0.4125 
step = 6650 	 t = 0.415625 
step = 6700 	 t = 0.41875 
step = 6750 	 t = 0.421875 
step = 6800 	 t = 0.425 
step = 6850 	 t = 0.428125 
step = 6900 	 t = 0.43125 
step = 6950 	 t = 0.434375 
step = 7000 	 t = 0.4375 
step = 7050 	 t = 0.440625 
step = 7100 	 t = 0.44375 
step = 7150 	 t = 0.446875 
step = 7200 	 t = 0.45 
step = 7250 	 t = 0.453125 
step = 7300 	 t = 0.45625 
step = 7350 	 t = 0.459375 
step = 7400 	 t = 0.4625 
step = 7450 	 t = 0.465625 
step = 7500 	 t = 0.46875 
step = 7550 	 t = 0.471875 
step = 7600 	 t = 0.475 
step = 7650 	 t = 0.478125 
step = 7700 	 t = 0.48125 
step = 7750 	 t = 0.484375 
step = 7800 	 t = 0.4875 
step = 7850 	 t = 0.490625 
step = 7900 	 t = 0.49375 
step = 7950 	 t = 0.496875 
step = 8000 	 t = 0.5 
step = 8050 	 t = 0.503125 
step = 8100 	 t = 0.50625 
step = 8150 	 t = 0.509375 
step = 8200 	 t = 0.5125 
step = 8250 	 t = 0.515625 
step = 8300 	 t = 0.51875 
step = 8350 	 t = 0.521875 
step = 8400 	 t = 0.525 
step = 8450 	 t = 0.528125 
step = 8500 	 t = 0.53125 
step = 8550 	 t = 0.534375 
step = 8600 	 t = 0.5375 
step = 8650 	 t = 0.540625 
step = 8700 	 t = 0.54375 
step = 8750 	 t = 0.546875 
step = 8800 	 t = 0.55 
step = 8850 	 t = 0.553125 
step = 8900 	 t = 0.55625 
step = 8950 	 t = 0.559375 
step = 9000 	 t = 0.5625 
step = 9050 	 t = 0.565625 
step = 9100 	 t = 0.56875 
step = 9150 	 t = 0.571875 
step = 9200 	 t = 0.575 
step = 9250 	 t = 0.578125 
step = 9300 	 t = 0.58125 
step = 9350 	 t = 0.584375 
step = 9400 	 t = 0.5875 
step = 9450 	 t = 0.590625 
step = 9500 	 t = 0.59375 
step = 9550 	 t = 0.596875 
step = 9600 	 t = 0.6 
step = 9650 	 t = 0.603125 
step = 9700 	 t = 0.60625 
step = 9750 	 t = 0.609375 
step = 9800 	 t = 0.6125 
step = 9850 	 t = 0.615625 
step = 9900 	 t = 0.61875 
step = 9950 	 t = 0.621875 
step = 10000 	 t = 0.625 
step = 10050 	 t = 0.628125 
step = 10100 	 t = 0.63125 
step = 10150 	 t = 0.634375 
step = 10200 	 t = 0.6375 
step = 10250 	 t = 0.640625 
step = 10300 	 t = 0.64375 
step = 10350 	 t = 0.646875 
step = 10400 	 t = 0.65 
step = 10450 	 t = 0.653125 
step = 10500 	 t = 0.65625 
step = 10550 	 t = 0.659375 
step = 10600 	 t = 0.6625 
step = 10650 	 t = 0.665625 
step = 10700 	 t = 0.66875 
step = 10750 	 t = 0.671875 
step = 10800 	 t = 0.675 
step = 10850 	 t = 0.678125 
step = 10900 	 t = 0.68125 
step = 10950 	 t = 0.684375 
step = 11000 	 t = 0.6875 
step = 11050 	 t = 0.690625 
step = 11100 	 t = 0.69375 
step = 11150 	 t = 0.696875 
step = 11200 	 t = 0.7 
step = 11250 	 t = 0.703125 
step = 11300 	 t = 0.70625 
step = 11350 	 t = 0.709375 
step = 11400 	 t = 0.7125 
step = 11450 	 t = 0.715625 
step = 11500 	 t = 0.71875 
step = 11550 	 t = 0.721875 
step = 11600 	 t = 0.725 
step = 11650 	 t = 0.728125 
step = 11700 	 t = 0.73125 
step = 11750 	 t = 0.734375 
step = 11800 	 t = 0.7375 
step = 11850 	 t = 0.740625 
step = 11900 	 t = 0.74375 
step = 11950 	 t = 0.746875 
step = 12000 	 t = 0.75 
step = 12050 	 t = 0.753125 
step = 12100 	 t = 0.75625 
step = 12150 	 t = 0.759375 
step = 12200 	 t = 0.7625 
step = 12250 	 t = 0.765625 
step = 12300 	 t = 0.76875 
step = 12350 	 t = 0.771875 
step = 12400 	 t = 0.775 
step = 12450 	 t = 0.778125 
step = 12500 	 t = 0.78125 
step = 12550 	 t = 0.784375 
step = 12600 	 t = 0.7875 
step = 12650 	 t = 0.790625 
step = 12700 	 t = 0.79375 
step = 12750 	 t = 0.796875 
step = 12800 	 t = 0.8 
step = 12850 	 t = 0.803125 
step = 12900 	 t = 0.80625 
step = 12950 	 t = 0.809375 
step = 13000 	 t = 0.8125 
step = 13050 	 t = 0.815625 
step = 13100 	 t = 0.81875 
step = 13150 	 t = 0.821875 
step = 13200 	 t = 0.825 
step = 13250 	 t = 0.828125 
step = 13300 	 t = 0.83125 
step = 13350 	 t = 0.834375 
step = 13400 	 t = 0.8375 
step = 13450 	 t = 0.840625 
step = 13500 	 t = 0.84375 
step = 13550 	 t = 0.846875 
step = 13600 	 t = 0.85 
step = 13650 	 t = 0.853125 
step = 13700 	 t = 0.85625 
step = 13750 	 t = 0.859375 
step = 13800 	 t = 0.8625 
step = 13850 	 t = 0.865625 
step = 13900 	 t = 0.86875 
step = 13950 	 t = 0.871875 
step = 14000 	 t = 0.875 
step = 14050 	 t = 0.878125 
step = 14100 	 t = 0.88125 
step = 14150 	 t = 0.884375 
step = 14200 	 t = 0.8875 
step = 14250 	 t = 0.890625 
step = 14300 	 t = 0.89375 
step = 14350 	 t = 0.896875 
step = 14400 	 t = 0.9 
step = 14450 	 t = 0.903125 
step = 14500 	 t = 0.90625 
step = 14550 	 t = 0.909375 
step = 14600 	 t = 0.9125 
step = 14650 	 t = 0.915625 
step = 14700 	 t = 0.91875 
step = 14750 	 t = 0.921875 
step = 14800 	 t = 0.925 
step = 14850 	 t = 0.928125 
step = 14900 	 t = 0.93125 
step = 14950 	 t = 0.934375 
step = 15000 	 t = 0.9375 
step = 15050 	 t = 0.940625 
step = 15100 	 t = 0.94375 
step = 15150 	 t = 0.946875 
step = 15200 	 t = 0.95 
step = 15250 	 t = 0.953125 
step = 15300 	 t = 0.95625 
step = 15350 	 t = 0.959375 
step = 15400 	 t = 0.9625 
step = 15450 	 t = 0.965625 
step = 15500 	 t = 0.96875 
step = 15550 	 t = 0.971875 
step = 15600 	 t = 0.975 
step = 15650 	 t = 0.978125 
step = 15700 	 t = 0.98125 
step = 15750 	 t = 0.984375 
step = 15800 	 t = 0.9875 
step = 15850 	 t = 0.990625 
step = 15900 	 t = 0.99375 
step = 15950 	 t = 0.996875 
step = 16000 	 t = 1 
step = 16050 	 t = 1.00313 
step = 16100 	 t = 1.00625 
step = 16150 	 t = 1.00938 
step = 16200 	 t = 1.0125 
step = 16250 	 t = 1.01562 
step = 16300 	 t = 1.01875 
step = 16350 	 t = 1.02188 
step = 16400 	 t = 1.025 
step = 16450 	 t = 1.02813 
step = 16500 	 t = 1.03125 
step = 16550 	 t = 1.03438 
step = 16600 	 t = 1.0375 
step = 16650 	 t = 1.04063 
step = 16700 	 t = 1.04375 
step = 16750 	 t = 1.04688 
step = 16800 	 t = 1.05 
step = 16850 	 t = 1.05313 
step = 16900 	 t = 1.05625 
step = 16950 	 t = 1.05938 
step = 17000 	 t = 1.0625 
step = 17050 	 t = 1.06563 
step = 17100 	 t = 1.06875 
step = 17150 	 t = 1.07188 
step = 17200 	 t = 1.075 
step = 17250 	 t = 1.07812 
step = 17300 	 t = 1.08125 
step = 17350 	 t = 1.08438 
step = 17400 	 t = 1.0875 
step = 17450 	 t = 1.09063 
step = 17500 	 t = 1.09375 
step = 17550 	 t = 1.09688 
step = 17600 	 t = 1.1 
step = 17650 	 t = 1.10313 
step = 17700 	 t = 1.10625 
step = 17750 	 t = 1.10938 
step = 17800 	 t = 1.1125 
step = 17850 	 t = 1.11563 
step = 17900 	 t = 1.11875 
step = 17950 	 t = 1.12188 
step = 18000 	 t = 1.125 
step = 18050 	 t = 1.12813 
step = 18100 	 t = 1.13125 
step = 18150 	 t = 1.13438 
step = 18200 	 t = 1.1375 
step = 18250 	 t = 1.14062 
step = 18300 	 t = 1.14375 
step = 18350 	 t = 1.14688 
step = 18400 	 t = 1.15 
step = 18450 	 t = 1.15313 
step = 18500 	 t = 1.15625 
step = 18550 	 t = 1.15938 
step = 18600 	 t = 1.1625 
step = 18650 	 t = 1.16563 
step = 18700 	 t = 1.16875 
step = 18750 	 t = 1.17188 
step = 18800 	 t = 1.175 
step = 18850 	 t = 1.17813 
step = 18900 	 t = 1.18125 
step = 18950 	 t = 1.18438 
step = 19000 	 t = 1.1875 
step = 19050 	 t = 1.19063 
step = 19100 	 t = 1.19375 
step = 19150 	 t = 1.19688 
step = 19200 	 t = 1.2 
step = 19250 	 t = 1.20312 
step = 19300 	 t = 1.20625 
step = 19350 	 t = 1.20938 
step = 19400 	 t = 1.2125 
step = 19450 	 t = 1.21563 
step = 19500 	 t = 1.21875 
step = 19550 	 t = 1.22188 
step = 19600 	 t = 1.225 
step = 19650 	 t = 1.22813 
step = 19700 	 t = 1.23125 
step = 19750 	 t = 1.23438 
step = 19800 	 t = 1.2375 
step = 19850 	 t = 1.24063 
step = 19900 	 t = 1.24375 
step = 19950 	 t = 1.24688 
step = 19999 	 t = 1.25 
Simulation took: 7.20242 s 
wrote: output/lf_6_p.bin 
wrote: output/lf_6_t.bin 
