./acoustic output/rk4_6 6 2 1 102 102 1.0 1.0 0.9 -100
Acoustic solver
Energy dissipative coupling: 1 
grid size 0 : 6402 6402, spacing : 0.000156 0.000156  
grid size 1 : 6402 6402, spacing : 0.000156 0.000156  
Time step: 0.000140625 
Number of steps: 8889 
Initialization completed
step = 0 	 t = 0 
step = 50 	 t = 0.00703125 
step = 100 	 t = 0.0140625 
step = 150 	 t = 0.0210938 
step = 200 	 t = 0.028125 
step = 250 	 t = 0.0351562 
step = 300 	 t = 0.0421875 
step = 350 	 t = 0.0492188 
step = 400 	 t = 0.05625 
step = 450 	 t = 0.0632813 
step = 500 	 t = 0.0703125 
step = 550 	 t = 0.0773438 
step = 600 	 t = 0.084375 
step = 650 	 t = 0.0914063 
step = 700 	 t = 0.0984375 
step = 750 	 t = 0.105469 
step = 800 	 t = 0.1125 
step = 850 	 t = 0.119531 
step = 900 	 t = 0.126563 
step = 950 	 t = 0.133594 
step = 1000 	 t = 0.140625 
step = 1050 	 t = 0.147656 
step = 1100 	 t = 0.154688 
step = 1150 	 t = 0.161719 
step = 1200 	 t = 0.16875 
step = 1250 	 t = 0.175781 
step = 1300 	 t = 0.182813 
step = 1350 	 t = 0.189844 
step = 1400 	 t = 0.196875 
step = 1450 	 t = 0.203906 
step = 1500 	 t = 0.210938 
step = 1550 	 t = 0.217969 
step = 1600 	 t = 0.225 
step = 1650 	 t = 0.232031 
step = 1700 	 t = 0.239063 
step = 1750 	 t = 0.246094 
step = 1800 	 t = 0.253125 
step = 1850 	 t = 0.260156 
step = 1900 	 t = 0.267188 
step = 1950 	 t = 0.274219 
step = 2000 	 t = 0.28125 
step = 2050 	 t = 0.288281 
step = 2100 	 t = 0.295313 
step = 2150 	 t = 0.302344 
step = 2200 	 t = 0.309375 
step = 2250 	 t = 0.316406 
step = 2300 	 t = 0.323438 
step = 2350 	 t = 0.330469 
step = 2400 	 t = 0.3375 
step = 2450 	 t = 0.344531 
step = 2500 	 t = 0.351563 
step = 2550 	 t = 0.358594 
step = 2600 	 t = 0.365625 
step = 2650 	 t = 0.372656 
step = 2700 	 t = 0.379688 
step = 2750 	 t = 0.386719 
step = 2800 	 t = 0.39375 
step = 2850 	 t = 0.400781 
step = 2900 	 t = 0.407813 
step = 2950 	 t = 0.414844 
step = 3000 	 t = 0.421875 
step = 3050 	 t = 0.428906 
step = 3100 	 t = 0.435938 
step = 3150 	 t = 0.442969 
step = 3200 	 t = 0.45 
step = 3250 	 t = 0.457031 
step = 3300 	 t = 0.464063 
step = 3350 	 t = 0.471094 
step = 3400 	 t = 0.478125 
step = 3450 	 t = 0.485156 
step = 3500 	 t = 0.492188 
step = 3550 	 t = 0.499219 
step = 3600 	 t = 0.50625 
step = 3650 	 t = 0.513281 
step = 3700 	 t = 0.520313 
step = 3750 	 t = 0.527344 
step = 3800 	 t = 0.534375 
step = 3850 	 t = 0.541406 
step = 3900 	 t = 0.548438 
step = 3950 	 t = 0.555469 
step = 4000 	 t = 0.5625 
step = 4050 	 t = 0.569531 
step = 4100 	 t = 0.576563 
step = 4150 	 t = 0.583594 
step = 4200 	 t = 0.590625 
step = 4250 	 t = 0.597656 
step = 4300 	 t = 0.604688 
step = 4350 	 t = 0.611719 
step = 4400 	 t = 0.61875 
step = 4450 	 t = 0.625781 
step = 4500 	 t = 0.632813 
step = 4550 	 t = 0.639844 
step = 4600 	 t = 0.646875 
step = 4650 	 t = 0.653906 
step = 4700 	 t = 0.660938 
step = 4750 	 t = 0.667969 
step = 4800 	 t = 0.675 
step = 4850 	 t = 0.682031 
step = 4900 	 t = 0.689063 
step = 4950 	 t = 0.696094 
step = 5000 	 t = 0.703125 
step = 5050 	 t = 0.710156 
step = 5100 	 t = 0.717188 
step = 5150 	 t = 0.724219 
step = 5200 	 t = 0.73125 
step = 5250 	 t = 0.738281 
step = 5300 	 t = 0.745313 
step = 5350 	 t = 0.752344 
step = 5400 	 t = 0.759375 
step = 5450 	 t = 0.766406 
step = 5500 	 t = 0.773438 
